-64.867343,-2.990311,30
-64.874896,-2.973538,2
-64.874792,-2.973263,2
-64.876214,-2.971646,7
-64.876219,-2.971767,7
-64.876444,-2.965519,0
-64.876595,-2.965414,0
-64.876716,-2.965406,0
-64.87755,-2.965341,0
-64.881205,-2.943427,41
-64.884216,-2.938403,44
-64.899035,-2.935386,13
-64.899555,-2.934865,13
-64.899054,-2.937277,53
-64.875898,-2.94735,35
-64.876511,-2.931759,37
-64.879434,-2.930106,40
-64.881379,-2.925513,42
-64.876444,-2.924277,36
-64.848562,-2.936457,3
-64.848501,-2.936412,3
-64.842644,-2.960429,22
-64.852007,-3.010269,24
-64.841867,-2.97594,21
-64.870469,-2.967278,31
-64.881845,-2.950059,9
-64.88237,-2.950173,9
-64.885219,-2.947785,45
-64.882323,-2.933597,43
-64.878521,-2.933181,38
-64.914671,-2.936698,66
-64.911231,-2.946828,15
-64.909858,-2.950328,62
-64.903204,-2.948186,57
-64.856334,-2.931155,5
-64.856196,-2.931101,5
-64.854865,-2.931418,26
-64.853274,-2.931815,4
-64.852449,-2.931915,4
-64.852617,-2.925036,25
-64.910173,-2.935881,63
-64.872555,-2.973896,33
-64.866688,-2.976021,29
-64.837502,-2.958561,18
-64.839378,-2.967741,20
-64.865118,-2.964145,28
-64.873395,-2.963955,34
-64.833496,-2.968131,17
-64.838003,-2.957375,19
-64.848858,-2.952405,23
-64.861249,-2.939906,27
-64.886873,-2.920571,46
-64.878966,-2.915772,39
-64.890522,-2.90715,1
-64.890443,-2.907375,1
-64.890345,-2.907236,1
-64.890369,-2.907149,1
-64.893986,-2.904361,11
-64.893766,-2.903764,11
-64.911024,-2.917132,64
-64.909068,-2.938919,60
-64.911232,-2.946763,15
-64.894836,-2.962915,51
-64.87547,-2.972948,2
-64.890758,-2.94054,48
-64.878284,-2.931195,8
-64.877587,-2.931694,8
-64.871851,-2.916572,32
-64.892817,-2.905954,50
-64.899561,-2.898542,12
-64.905118,-2.88524,59
-64.917209,-2.883107,67
-64.898988,-2.899282,12
-64.891993,-2.906705,49
-64.888321,-2.922822,10
-64.888279,-2.922813,10
-64.887394,-2.923505,47
-64.899895,-2.917315,54
-64.908924,-2.910582,14
-64.909007,-2.90983,14
-64.902709,-2.936652,56
-64.898391,-2.931791,52
-64.913177,-2.902384,65
-64.922505,-2.880874,72
-64.929914,-2.868546,16
-64.929886,-2.868606,16
-64.934202,-2.861417,76
-64.928691,-2.868233,74
-64.926459,-2.871929,73
-64.921697,-2.869082,71
-64.920657,-2.869041,68
-64.921017,-2.870035,69
-64.921491,-2.879309,70
-64.933066,-2.862076,75
-64.944175,-2.856696,77
-64.909303,-2.907942,61
-64.905103,-2.913961,58
-64.872712,-2.938627,6
-64.872479,-2.938535,6
-64.900935,-2.91708,55
