01/22/15 17:31,-2.990311,-64.867343
01/24/15 10:01,-2.973538,-64.874896
01/24/15 16:02,-2.973263,-64.874792
01/24/15 22:01,-2.971646,-64.876214
01/25/15 04:00,-2.971767,-64.876219
01/25/15 10:01,-2.965519,-64.876444
01/25/15 16:02,-2.965414,-64.876595
01/25/15 22:01,-2.965406,-64.876716
01/26/15 04:01,-2.965341,-64.87755
01/26/15 16:00,-2.943427,-64.881205
01/27/15 04:01,-2.938403,-64.884216
01/27/15 10:00,-2.935386,-64.899035
01/27/15 16:02,-2.934865,-64.899555
01/27/15 22:01,-2.937277,-64.899054
01/28/15 16:02,-2.94735,-64.875898
01/28/15 22:00,-2.931759,-64.876511
01/29/15 04:01,-2.930106,-64.879434
01/29/15 16:02,-2.925513,-64.881379
01/29/15 22:01,-2.924277,-64.876444
01/30/15 10:00,-2.936457,-64.848562
01/30/15 16:01,-2.936412,-64.848501
01/30/15 22:01,-2.960429,-64.842644
01/31/15 10:01,-3.010269,-64.852007
02/01/15 04:02,-2.97594,-64.841867
02/01/15 16:01,-2.967278,-64.870469
02/02/15 16:02,-2.950059,-64.881845
02/02/15 22:01,-2.950173,-64.88237
02/03/15 04:01,-2.947785,-64.885219
02/03/15 10:02,-2.933597,-64.882323
02/03/15 16:02,-2.933181,-64.878521
02/04/15 10:01,-2.936698,-64.914671
02/04/15 16:00,-2.946828,-64.911231
02/04/15 22:01,-2.950328,-64.909858
02/05/15 04:01,-2.948186,-64.903204
02/06/15 10:01,-2.931155,-64.856334
02/06/15 16:01,-2.931101,-64.856196
02/06/15 22:00,-2.931418,-64.854865
02/07/15 10:01,-2.931815,-64.853274
02/07/15 16:02,-2.931915,-64.852449
02/07/15 22:01,-2.925036,-64.852617
02/08/15 10:01,-2.935881,-64.910173
02/09/15 10:01,-2.973896,-64.872555
02/09/15 16:02,-2.976021,-64.866688
02/10/15 10:02,-2.958561,-64.837502
02/10/15 16:02,-2.967741,-64.839378
02/11/15 10:00,-2.964145,-64.865118
02/11/15 22:01,-2.963955,-64.873395
02/13/15 04:02,-2.968131,-64.833496
02/13/15 10:01,-2.957375,-64.838003
02/13/15 16:01,-2.952405,-64.848858
02/14/15 04:02,-2.939906,-64.861249
02/14/15 10:00,-2.920571,-64.886873
02/15/15 04:01,-2.915772,-64.878966
02/15/15 10:01,-2.90715,-64.890522
02/15/15 16:02,-2.907375,-64.890443
02/15/15 22:01,-2.907236,-64.890345
02/16/15 04:01,-2.907149,-64.890369
02/16/15 10:01,-2.904361,-64.893986
02/16/15 22:01,-2.903764,-64.893766
02/17/15 10:01,-2.917132,-64.911024
02/18/15 10:01,-2.938919,-64.909068
02/18/15 16:01,-2.946763,-64.911232
02/18/15 22:01,-2.962915,-64.894836
02/19/15 22:02,-2.972948,-64.87547
02/20/15 10:02,-2.94054,-64.890758
02/20/15 22:02,-2.931195,-64.878284
02/21/15 04:01,-2.931694,-64.877587
02/22/15 10:00,-2.916572,-64.871851
02/22/15 16:00,-2.905954,-64.892817
02/22/15 22:01,-2.898542,-64.899561
02/23/15 04:02,-2.88524,-64.905118
02/24/15 04:01,-2.883107,-64.917209
02/24/15 16:02,-2.899282,-64.898988
02/25/15 10:00,-2.906705,-64.891993
02/25/15 16:00,-2.922822,-64.888321
02/25/15 22:02,-2.922813,-64.888279
02/26/15 04:01,-2.923505,-64.887394
02/26/15 10:01,-2.917315,-64.899895
02/26/15 16:02,-2.910582,-64.908924
02/27/15 04:01,-2.90983,-64.909007
02/28/15 16:02,-2.936652,-64.902709
03/01/15 04:02,-2.931791,-64.898391
03/01/15 10:02,-2.902384,-64.913177
03/02/15 04:01,-2.880874,-64.922505
03/02/15 10:02,-2.868546,-64.929914
03/02/15 16:02,-2.868606,-64.929886
03/02/15 22:02,-2.861417,-64.934202
03/03/15 04:02,-2.868233,-64.928691
03/04/15 04:01,-2.871929,-64.926459
03/04/15 16:00,-2.869082,-64.921697
03/04/15 22:01,-2.869041,-64.920657
03/05/15 04:01,-2.870035,-64.921017
03/05/15 10:02,-2.879309,-64.921491
03/05/15 16:02,-2.862076,-64.933066
03/06/15 04:01,-2.856696,-64.944175
03/06/15 22:01,-2.907942,-64.909303
03/07/15 04:02,-2.913961,-64.905103
03/07/15 16:01,-2.938627,-64.872712
03/07/15 22:02,-2.938535,-64.872479
03/08/15 22:02,-2.91708,-64.900935
03/10/15 04:02,-2.910604,-64.909135
03/17/15 16:03,-2.910627,-64.908882
03/18/15 04:02,-2.910628,-64.908827
04/04/15 04:02,-2.916761,-64.901251
04/17/15 22:01,-2.898876,-64.899735
04/28/15 16:00,-2.898956,-64.898933
04/28/15 22:00,-2.899027,-64.899037
