-64.867343,-2.990311,3
-64.874896,-2.973538,0
-64.874792,-2.973263,0
-64.876214,-2.971646,0
-64.876219,-2.971767,0
-64.876444,-2.965519,0
-64.876595,-2.965414,0
-64.876716,-2.965406,0
-64.87755,-2.965341,0
-64.881205,-2.943427,1
-64.884216,-2.938403,1
-64.899035,-2.935386,5
-64.899555,-2.934865,5
-64.899054,-2.937277,5
-64.875898,-2.94735,0
-64.876511,-2.931759,1
-64.879434,-2.930106,1
-64.881379,-2.925513,1
-64.876444,-2.924277,1
-64.848562,-2.936457,2
-64.848501,-2.936412,2
-64.842644,-2.960429,4
-64.852007,-3.010269,3
-64.841867,-2.97594,4
-64.870469,-2.967278,0
-64.881845,-2.950059,0
-64.88237,-2.950173,0
-64.885219,-2.947785,0
-64.882323,-2.933597,1
-64.878521,-2.933181,1
-64.914671,-2.936698,5
-64.911231,-2.946828,5
-64.909858,-2.950328,5
-64.903204,-2.948186,5
-64.856334,-2.931155,2
-64.856196,-2.931101,2
-64.854865,-2.931418,2
-64.853274,-2.931815,2
-64.852449,-2.931915,2
-64.852617,-2.925036,2
-64.910173,-2.935881,5
-64.872555,-2.973896,0
-64.866688,-2.976021,0
-64.837502,-2.958561,4
-64.839378,-2.967741,4
-64.865118,-2.964145,0
-64.873395,-2.963955,0
-64.833496,-2.968131,4
-64.838003,-2.957375,4
-64.848858,-2.952405,2
-64.861249,-2.939906,2
-64.886873,-2.920571,1
-64.878966,-2.915772,1
-64.890522,-2.90715,6
-64.890443,-2.907375,6
-64.890345,-2.907236,6
-64.890369,-2.907149,6
-64.893986,-2.904361,6
-64.893766,-2.903764,6
-64.911024,-2.917132,6
-64.909068,-2.938919,5
-64.911232,-2.946763,5
-64.894836,-2.962915,0
-64.87547,-2.972948,0
-64.890758,-2.94054,1
-64.878284,-2.931195,1
-64.877587,-2.931694,1
-64.871851,-2.916572,1
-64.892817,-2.905954,6
-64.899561,-2.898542,6
-64.905118,-2.88524,6
-64.917209,-2.883107,7
-64.898988,-2.899282,6
-64.891993,-2.906705,6
-64.888321,-2.922822,1
-64.888279,-2.922813,1
-64.887394,-2.923505,1
-64.899895,-2.917315,6
-64.908924,-2.910582,6
-64.909007,-2.90983,6
-64.902709,-2.936652,5
-64.898391,-2.931791,5
-64.913177,-2.902384,6
-64.922505,-2.880874,7
-64.929914,-2.868546,7
-64.929886,-2.868606,7
-64.934202,-2.861417,7
-64.928691,-2.868233,7
-64.926459,-2.871929,7
-64.921697,-2.869082,7
-64.920657,-2.869041,7
-64.921017,-2.870035,7
-64.921491,-2.879309,7
-64.933066,-2.862076,7
-64.944175,-2.856696,7
-64.909303,-2.907942,6
-64.905103,-2.913961,6
-64.872712,-2.938627,1
-64.872479,-2.938535,1
-64.900935,-2.91708,6
